Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker
no checking account,0.07352941176470588,critical account/ other credits existing (not at this bank),car (new),0.10366457576758006,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,1.0,"car or other, not in attribute 6",0.5178571428571428,none,own,0.6666666666666667,skilled employee / official,0.0,"yes, registered under the customers name",yes
... < 0 DM,0.029411764705882346,existing credits paid back duly till now,radio/television,0.13189171343677783,500 <= ... < 1000 DM,1 <= ... < 4 years,0.3333333333333333,male : single,none,0.6666666666666667,real estate,0.44642857142857145,none,rent,0.0,skilled employee / official,1.0,none,yes
... < 0 DM,0.08823529411764706,critical account/ other credits existing (not at this bank),car (new),0.10955210740618465,... < 100 DM,< 1 year,0.0,male : single,none,0.6666666666666667,real estate,0.5178571428571428,none,rent,0.3333333333333333,unskilled - resident,1.0,none,no
0 <= ... < 200 DM,0.1176470588235294,critical account/ other credits existing (not at this bank),car (used),0.08550676791020138,100 <= ... < 500 DM,< 1 year,0.6666666666666667,male : single,none,1.0,building society savings agreement/ life insurance,0.44642857142857145,none,own,0.0,skilled employee / official,0.0,none,yes
no checking account,0.08823529411764706,critical account/ other credits existing (not at this bank),furniture/equipment,0.10008803785627819,unknown/ no savings account,1 <= ... < 4 years,0.3333333333333333,male : married/widowed,none,0.0,"car or other, not in attribute 6",0.125,none,own,0.3333333333333333,skilled employee / official,0.0,none,no
... < 0 DM,0.029411764705882346,existing credits paid back duly till now,furniture/equipment,0.06184659403543523,... < 100 DM,1 <= ... < 4 years,0.0,male : single,none,0.3333333333333333,real estate,0.30357142857142855,bank,own,0.0,unskilled - resident,0.0,"yes, registered under the customers name",yes
no checking account,0.029411764705882346,no credits taken/ all credits paid back duly,radio/television,0.00968416419060196,... < 100 DM,>= 7 years,1.0,male : married/widowed,none,1.0,"car or other, not in attribute 6",0.35714285714285715,none,own,0.0,unskilled - resident,0.0,none,yes
... >= 200 DM / salary assignments for at least 1 year,0.1176470588235294,all credits at this bank paid back duly,radio/television,0.008748761967646089,>= 1000 DM,1 <= ... < 4 years,0.6666666666666667,female : divorced/separated/married,none,0.6666666666666667,real estate,0.41071428571428575,none,rent,0.3333333333333333,skilled employee / official,0.0,none,yes
0 <= ... < 200 DM,0.044117647058823525,existing credits paid back duly till now,radio/television,0.11912622427643886,... < 100 DM,1 <= ... < 4 years,0.6666666666666667,male : single,guarantor,0.3333333333333333,real estate,0.26785714285714285,none,own,0.0,skilled employee / official,0.0,none,yes
... < 0 DM,0.8235294117647058,delay in paying off in the past,business,0.36238582590513924,... < 100 DM,>= 7 years,0.6666666666666667,male : single,none,1.0,unknown / no property,0.7857142857142858,none,own,0.3333333333333333,skilled employee / official,0.0,"yes, registered under the customers name",yes
0 <= ... < 200 DM,0.20588235294117646,existing credits paid back duly till now,business,0.09150434686915374,>= 1000 DM,< 1 year,0.6666666666666667,male : married/widowed,none,0.6666666666666667,real estate,0.30357142857142855,bank,own,0.0,skilled employee / official,0.0,"yes, registered under the customers name",yes
... < 0 DM,0.2941176470588235,existing credits paid back duly till now,furniture/equipment,0.20743919885550788,... < 100 DM,1 <= ... < 4 years,0.3333333333333333,male : single,none,0.3333333333333333,"car or other, not in attribute 6",0.14285714285714285,stores,own,0.0,skilled employee / official,0.0,none,yes
0 <= ... < 200 DM,0.20588235294117646,existing credits paid back duly till now,car (new),0.3090128755364807,100 <= ... < 500 DM,1 <= ... < 4 years,0.3333333333333333,male : single,none,0.3333333333333333,"car or other, not in attribute 6",0.19642857142857145,none,own,0.3333333333333333,skilled employee / official,0.0,"yes, registered under the customers name",yes
no checking account,0.1176470588235294,critical account/ other credits existing (not at this bank),business,0.055793991416309016,unknown/ no savings account,>= 7 years,1.0,male : single,none,1.0,unknown / no property,0.6785714285714286,none,rent,0.0,unskilled - resident,0.0,none,yes
... >= 200 DM / salary assignments for at least 1 year,0.1176470588235294,existing credits paid back duly till now,furniture/equipment,0.06734896005282272,... < 100 DM,< 1 year,1.0,female : divorced/separated/married,none,0.0,building society savings agreement/ life insurance,0.25000000000000006,bank,own,0.0,management/ self-employed/ highly qualified employee/ officer,0.0,"yes, registered under the customers name",yes
0 <= ... < 200 DM,0.6029411764705882,critical account/ other credits existing (not at this bank),radio/television,0.24738637614174097,... < 100 DM,< 1 year,1.0,male : single,none,0.3333333333333333,building society savings agreement/ life insurance,0.10714285714285715,none,own,0.3333333333333333,unskilled - resident,0.0,none,yes
no checking account,0.6470588235294117,critical account/ other credits existing (not at this bank),education,0.32243864861890614,... < 100 DM,1 <= ... < 4 years,0.0,male : single,none,0.6666666666666667,unknown / no property,0.21428571428571425,bank,for free,0.0,skilled employee / official,0.0,"yes, registered under the customers name",yes
... >= 200 DM / salary assignments for at least 1 year,0.20588235294117646,existing credits paid back duly till now,radio/television,0.10179377132166832,... < 100 DM,1 <= ... < 4 years,1.0,male : single,co-applicant,0.3333333333333333,real estate,0.32142857142857145,stores,own,0.0,skilled employee / official,0.0,none,yes
... >= 200 DM / salary assignments for at least 1 year,0.08823529411764706,existing credits paid back duly till now,domestic appliances,0.0536480686695279,... < 100 DM,1 <= ... < 4 years,0.3333333333333333,male : single,none,0.3333333333333333,"car or other, not in attribute 6",0.32142857142857145,none,own,0.0,skilled employee / official,0.0,"yes, registered under the customers name",yes
0 <= ... < 200 DM,0.07352941176470588,existing credits paid back duly till now,radio/television,0.011444921316165951,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,real estate,0.0892857142857143,none,own,0.0,skilled employee / official,0.0,none,yes
no checking account,0.38235294117647056,existing credits paid back duly till now,radio/television,0.11461428414218112,500 <= ... < 1000 DM,>= 7 years,1.0,male : single,none,0.3333333333333333,"car or other, not in attribute 6",0.19642857142857145,bank,own,0.0,management/ self-employed/ highly qualified employee/ officer,0.0,none,yes
0 <= ... < 200 DM,0.1176470588235294,existing credits paid back duly till now,radio/television,0.04996148343787829,500 <= ... < 1000 DM,1 <= ... < 4 years,0.6666666666666667,male : divorced/separated,none,0.0,"car or other, not in attribute 6",0.125,none,own,0.0,skilled employee / official,0.0,"yes, registered under the customers name",yes
0 <= ... < 200 DM,0.20588235294117646,delay in paying off in the past,repairs,0.32761087267525035,... < 100 DM,1 <= ... < 4 years,0.3333333333333333,male : single,none,1.0,real estate,0.44642857142857145,none,own,0.0,unskilled - resident,1.0,"yes, registered under the customers name",yes
... < 0 DM,0.38235294117647056,critical account/ other credits existing (not at this bank),car (used),0.3266754704522945,100 <= ... < 500 DM,4 <= ... < 7 years,0.0,male : married/widowed,none,1.0,"car or other, not in attribute 6",0.0892857142857143,none,rent,0.3333333333333333,skilled employee / official,0.0,none,yes
... < 0 DM,0.6470588235294117,critical account/ other credits existing (not at this bank),car (used),0.324254429404644,... < 100 DM,>= 7 years,1.0,female : divorced/separated/married,none,1.0,unknown / no property,0.6964285714285714,stores,for free,0.3333333333333333,unskilled - resident,0.0,none,yes
no checking account,0.10294117647058824,critical account/ other credits existing (not at this bank),car (new),0.06289204357873886,... < 100 DM,< 1 year,1.0,female : divorced/separated/married,none,1.0,"car or other, not in attribute 6",0.28571428571428575,none,own,0.3333333333333333,management/ self-employed/ highly qualified employee/ officer,0.0,none,yes
no checking account,0.47058823529411764,existing credits paid back duly till now,radio/television,0.1127434796962694,500 <= ... < 1000 DM,>= 7 years,1.0,male : single,none,1.0,"car or other, not in attribute 6",0.35714285714285715,none,own,0.0,skilled employee / official,0.0,none,yes
... < 0 DM,0.029411764705882346,existing credits paid back duly till now,car (used),0.06063607351160999,500 <= ... < 1000 DM,unemployed,0.0,female : divorced/separated/married,none,0.3333333333333333,building society savings agreement/ life insurance,0.07142857142857145,none,rent,0.0,unemployed/ unskilled - non-resident,0.0,"yes, registered under the customers name",yes
no checking account,0.10294117647058824,critical account/ other credits existing (not at this bank),car (new),0.38395510069329813,... < 100 DM,1 <= ... < 4 years,0.0,male : single,none,1.0,building society savings agreement/ life insurance,0.35714285714285715,none,own,0.3333333333333333,unskilled - resident,0.0,none,yes
no checking account,0.1176470588235294,existing credits paid back duly till now,radio/television,0.10030813249697369,100 <= ... < 500 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,co-applicant,0.3333333333333333,real estate,0.16071428571428575,none,own,0.0,skilled employee / official,0.0,none,yes
0 <= ... < 200 DM,0.2941176470588235,delay in paying off in the past,furniture/equipment,0.11461428414218112,unknown/ no savings account,< 1 year,1.0,male : single,none,0.3333333333333333,building society savings agreement/ life insurance,0.17857142857142855,bank,own,0.0,unskilled - resident,0.0,none,yes
0 <= ... < 200 DM,0.338235294117647,delay in paying off in the past,car (used),0.3144602178936943,... < 100 DM,>= 7 years,0.0,male : single,none,0.3333333333333333,"car or other, not in attribute 6",0.19642857142857145,none,own,0.3333333333333333,management/ self-employed/ highly qualified employee/ officer,0.0,"yes, registered under the customers name",yes
no checking account,0.1176470588235294,existing credits paid back duly till now,radio/television,0.055683944095961266,... < 100 DM,1 <= ... < 4 years,0.6666666666666667,male : single,none,0.3333333333333333,"car or other, not in attribute 6",0.10714285714285715,none,own,0.0,skilled employee / official,0.0,none,yes
no checking account,0.20588235294117646,existing credits paid back duly till now,car (used),0.17211400902388027,unknown/ no savings account,1 <= ... < 4 years,0.3333333333333333,male : single,none,0.0,building society savings agreement/ life insurance,0.21428571428571425,none,own,0.0,skilled employee / official,0.0,"yes, registered under the customers name",yes
0 <= ... < 200 DM,0.47058823529411764,delay in paying off in the past,car (new),0.10867172884340266,... < 100 DM,>= 7 years,1.0,male : single,none,1.0,unknown / no property,0.6785714285714286,bank,for free,0.3333333333333333,skilled employee / official,0.0,"yes, registered under the customers name",yes
no checking account,0.029411764705882346,all credits at this bank paid back duly,car (new),0.029327610872675252,unknown/ no savings account,1 <= ... < 4 years,0.0,male : single,guarantor,0.3333333333333333,real estate,0.125,stores,own,0.0,unskilled - resident,1.0,none,yes
0 <= ... < 200 DM,0.1176470588235294,existing credits paid back duly till now,radio/television,0.3421371189611533,unknown/ no savings account,unemployed,0.3333333333333333,male : single,none,0.0,unknown / no property,0.5892857142857142,none,own,0.0,management/ self-employed/ highly qualified employee/ officer,0.0,"yes, registered under the customers name",yes
no checking account,0.47058823529411764,critical account/ other credits existing (not at this bank),radio/television,0.5126004181798173,... < 100 DM,1 <= ... < 4 years,0.3333333333333333,female : divorced/separated/married,none,0.3333333333333333,"car or other, not in attribute 6",0.21428571428571425,stores,own,0.3333333333333333,skilled employee / official,0.0,none,yes
... >= 200 DM / salary assignments for at least 1 year,0.20588235294117646,existing credits paid back duly till now,car (new),0.09414548255749973,... < 100 DM,>= 7 years,0.6666666666666667,female : divorced/separated/married,none,0.3333333333333333,"car or other, not in attribute 6",0.07142857142857145,none,own,0.0,management/ self-employed/ highly qualified employee/ officer,0.0,none,yes
... < 0 DM,0.47058823529411764,critical account/ other credits existing (not at this bank),furniture/equipment,0.32898646417959726,... < 100 DM,< 1 year,1.0,female : divorced/separated/married,co-applicant,1.0,unknown / no property,0.07142857142857145,none,rent,0.3333333333333333,unskilled - resident,0.0,"yes, registered under the customers name",yes
0 <= ... < 200 DM,0.07352941176470588,existing credits paid back duly till now,business,0.0627819962583911,... < 100 DM,1 <= ... < 4 years,0.3333333333333333,male : married/widowed,none,0.0,real estate,0.14285714285714285,bank,own,0.0,skilled employee / official,0.0,"yes, registered under the customers name",yes
0 <= ... < 200 DM,0.16176470588235292,critical account/ other credits existing (not at this bank),radio/television,0.07081545064377683,unknown/ no savings account,>= 7 years,1.0,male : single,guarantor,1.0,real estate,0.5535714285714286,none,own,0.3333333333333333,skilled employee / official,0.0,"yes, registered under the customers name",yes
0 <= ... < 200 DM,0.47058823529411764,no credits taken/ all credits paid back duly,business,0.09370529327610873,... < 100 DM,>= 7 years,1.0,male : single,none,1.0,unknown / no property,0.75,none,for free,0.0,management/ self-employed/ highly qualified employee/ officer,0.0,"yes, registered under the customers name",yes
0 <= ... < 200 DM,0.6470588235294117,no credits taken/ all credits paid back duly,business,0.7797402883239792,... < 100 DM,1 <= ... < 4 years,0.3333333333333333,male : single,none,0.3333333333333333,"car or other, not in attribute 6",0.10714285714285715,none,own,0.0,skilled employee / official,0.0,"yes, registered under the customers name",yes
no checking account,0.2941176470588235,existing credits paid back duly till now,radio/television,0.16127434796962695,... < 100 DM,< 1 year,1.0,female : divorced/separated/married,none,1.0,building society savings agreement/ life insurance,0.125,none,own,0.0,skilled employee / official,0.0,"yes, registered under the customers name",yes
no checking account,0.338235294117647,existing credits paid back duly till now,repairs,0.2718168812589414,unknown/ no savings account,>= 7 years,1.0,male : single,none,1.0,building society savings agreement/ life insurance,0.5178571428571428,none,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes
no checking account,0.1176470588235294,existing credits paid back duly till now,radio/television,0.10570045119401342,... < 100 DM,< 1 year,0.3333333333333333,female : divorced/separated/married,none,0.3333333333333333,"car or other, not in attribute 6",0.17857142857142855,bank,own,0.0,skilled employee / official,0.0,none,yes
0 <= ... < 200 DM,0.1176470588235294,existing credits paid back duly till now,car (new),0.041652910751623196,>= 1000 DM,1 <= ... < 4 years,1.0,male : married/widowed,none,0.0,real estate,0.0535714285714286,none,own,0.0,skilled employee / official,0.0,none,yes
no checking account,0.47058823529411764,existing credits paid back duly till now,education,0.08633212281280951,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,1.0,unknown / no property,0.32142857142857145,stores,for free,0.0,skilled employee / official,0.0,"yes, registered under the customers name",yes
no checking account,0.47058823529411764,existing credits paid back duly till now,radio/television,0.11797072741278751,unknown/ no savings account,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,1.0,"car or other, not in attribute 6",0.10714285714285715,none,own,0.0,skilled employee / official,0.0,none,yes
no checking account,0.47058823529411764,existing credits paid back duly till now,car (used),0.4337515131506548,... < 100 DM,1 <= ... < 4 years,0.0,female : divorced/separated/married,none,0.3333333333333333,building society savings agreement/ life insurance,0.19642857142857145,bank,own,0.0,skilled employee / official,0.0,none,yes
no checking account,0.044117647058823525,critical account/ other credits existing (not at this bank),radio/television,0.02641135688345989,unknown/ no savings account,>= 7 years,1.0,male : single,none,0.3333333333333333,building society savings agreement/ life insurance,0.48214285714285715,none,rent,0.3333333333333333,unskilled - resident,0.0,"yes, registered under the customers name",yes
... < 0 DM,0.058823529411764705,critical account/ other credits existing (not at this bank),others,0.05029162539892153,... < 100 DM,>= 7 years,0.6666666666666667,male : single,none,1.0,unknown / no property,0.5714285714285714,bank,for free,0.3333333333333333,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes
0 <= ... < 200 DM,0.5588235294117647,critical account/ other credits existing (not at this bank),business,0.3138549576317817,... < 100 DM,4 <= ... < 7 years,0.3333333333333333,female : divorced/separated/married,none,0.0,real estate,0.39285714285714285,bank,own,0.3333333333333333,unskilled - resident,0.0,none,yes
... < 0 DM,0.47058823529411764,existing credits paid back duly till now,education,0.09502586112028172,unknown/ no savings account,>= 7 years,1.0,male : single,none,1.0,unknown / no property,0.37499999999999994,none,own,0.0,management/ self-employed/ highly qualified employee/ officer,0.0,"yes, registered under the customers name",yes
... < 0 DM,0.1176470588235294,critical account/ other credits existing (not at this bank),car (used),0.0702101903818642,... < 100 DM,>= 7 years,1.0,male : single,none,1.0,unknown / no property,0.8392857142857144,none,for free,0.3333333333333333,management/ self-employed/ highly qualified employee/ officer,0.0,none,yes
... < 0 DM,0.5588235294117647,existing credits paid back duly till now,radio/television,0.20441289754594477,... < 100 DM,< 1 year,1.0,male : single,none,0.6666666666666667,"car or other, not in attribute 6",0.26785714285714285,none,own,0.0,skilled employee / official,0.0,none,yes
0 <= ... < 200 DM,0.10294117647058824,delay in paying off in the past,radio/television,0.24876196764608782,... < 100 DM,4 <= ... < 7 years,0.3333333333333333,male : single,none,1.0,building society savings agreement/ life insurance,0.5714285714285714,none,own,0.0,skilled employee / official,0.0,none,yes
no checking account,0.7352941176470588,no credits taken/ all credits paid back duly,car (used),0.5054473423572136,unknown/ no savings account,1 <= ... < 4 years,0.3333333333333333,male : single,none,0.3333333333333333,building society savings agreement/ life insurance,0.35714285714285715,none,own,0.0,unskilled - resident,1.0,none,yes
0 <= ... < 200 DM,0.38235294117647056,existing credits paid back duly till now,furniture/equipment,0.19709475074281943,... < 100 DM,< 1 year,0.3333333333333333,male : married/widowed,none,0.0,building society savings agreement/ life insurance,0.0535714285714286,none,own,0.0,skilled employee / official,0.0,none,yes
no checking account,0.2941176470588235,existing credits paid back duly till now,radio/television,0.3132496973698691,unknown/ no savings account,< 1 year,0.0,female : divorced/separated/married,none,0.0,"car or other, not in attribute 6",0.44642857142857145,none,own,0.3333333333333333,skilled employee / official,0.0,"yes, registered under the customers name",yes
no checking account,0.16176470588235292,existing credits paid back duly till now,radio/television,0.0529877847474414,500 <= ... < 1000 DM,>= 7 years,1.0,male : single,none,0.6666666666666667,building society savings agreement/ life insurance,0.49999999999999994,stores,own,0.0,skilled employee / official,0.0,"yes, registered under the customers name",yes
no checking account,0.20588235294117646,existing credits paid back duly till now,business,0.07252118410916694,100 <= ... < 500 DM,1 <= ... < 4 years,0.6666666666666667,female : divorced/separated/married,none,1.0,building society savings agreement/ life insurance,0.0892857142857143,none,rent,0.0,unskilled - resident,0.0,none,yes
... < 0 DM,0.2941176470588235,existing credits paid back duly till now,others,0.08281060856168151,... < 100 DM,>= 7 years,1.0,female : divorced/separated/married,guarantor,1.0,real estate,0.6964285714285714,none,own,0.0,unskilled - resident,0.0,"yes, registered under the customers name",yes
... < 0 DM,0.08823529411764706,existing credits paid back duly till now,radio/television,0.1136238582590514,... < 100 DM,>= 7 years,0.6666666666666667,male : single,none,1.0,real estate,0.5892857142857142,none,own,0.0,unskilled - resident,0.0,none,yes
no checking account,0.1176470588235294,critical account/ other credits existing (not at this bank),business,0.06393749312204247,... < 100 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,guarantor,0.3333333333333333,real estate,0.17857142857142855,none,own,0.3333333333333333,management/ self-employed/ highly qualified employee/ officer,0.0,"yes, registered under the customers name",yes
0 <= ... < 200 DM,0.20588235294117646,critical account/ other credits existing (not at this bank),furniture/equipment,0.05749972488169913,... < 100 DM,< 1 year,1.0,female : divorced/separated/married,none,0.0,building society savings agreement/ life insurance,0.14285714285714285,none,own,0.3333333333333333,skilled employee / official,0.0,none,yes
0 <= ... < 200 DM,0.47058823529411764,existing credits paid back duly till now,education,0.6802024870694399,100 <= ... < 500 DM,1 <= ... < 4 years,0.0,male : single,none,1.0,unknown / no property,0.49999999999999994,none,for free,0.0,skilled employee / official,1.0,"yes, registered under the customers name",yes
... < 0 DM,0.20588235294117646,existing credits paid back duly till now,car (new),0.10999229668757565,100 <= ... < 500 DM,4 <= ... < 7 years,1.0,male : single,none,0.6666666666666667,"car or other, not in attribute 6",0.19642857142857145,none,own,0.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes
... < 0 DM,0.1176470588235294,no credits taken/ all credits paid back duly,repairs,0.047210300429184546,... < 100 DM,4 <= ... < 7 years,1.0,male : single,none,0.6666666666666667,real estate,0.16071428571428575,none,own,0.3333333333333333,skilled employee / official,0.0,none,yes
no checking account,0.1176470588235294,critical account/ other credits existing (not at this bank),radio/television,0.020248706943985912,... < 100 DM,>= 7 years,1.0,male : single,none,1.0,real estate,0.6607142857142858,none,own,0.0,skilled employee / official,0.0,none,yes
... < 0 DM,0.1176470588235294,critical account/ other credits existing (not at this bank),car (used),0.06377242214152085,... < 100 DM,>= 7 years,1.0,male : single,none,0.6666666666666667,real estate,0.625,none,own,0.0,skilled employee / official,0.0,none,yes
no checking account,0.1176470588235294,critical account/ other credits existing (not at this bank),radio/television,0.030097942115109497,unknown/ no savings account,>= 7 years,1.0,female : divorced/separated/married,none,0.6666666666666667,building society savings agreement/ life insurance,0.25000000000000006,bank,own,0.0,unskilled - resident,1.0,none,yes
... >= 200 DM / salary assignments for at least 1 year,0.2941176470588235,critical account/ other credits existing (not at this bank),furniture/equipment,0.18526466380543635,unknown/ no savings account,>= 7 years,1.0,male : single,co-applicant,1.0,unknown / no property,0.01785714285714285,none,rent,0.3333333333333333,skilled employee / official,0.0,none,yes
0 <= ... < 200 DM,0.1176470588235294,existing credits paid back duly till now,car (new),0.05876526906569825,>= 1000 DM,>= 7 years,1.0,male : single,none,1.0,real estate,0.625,none,own,0.0,skilled employee / official,0.0,"yes, registered under the customers name",yes
0 <= ... < 200 DM,0.7352941176470588,no credits taken/ all credits paid back duly,business,0.8635963464289644,... < 100 DM,< 1 year,0.6666666666666667,male : single,none,1.0,unknown / no property,0.6964285714285714,none,rent,0.0,skilled employee / official,0.0,"yes, registered under the customers name",yes
no checking account,0.1176470588235294,critical account/ other credits existing (not at this bank),education,0.09695168922636734,unknown/ no savings account,4 <= ... < 7 years,1.0,female : divorced/separated/married,none,0.3333333333333333,"car or other, not in attribute 6",0.75,none,own,0.0,skilled employee / official,0.0,none,yes
0 <= ... < 200 DM,0.20588235294117646,existing credits paid back duly till now,business,0.13051612193243095,100 <= ... < 500 DM,1 <= ... < 4 years,1.0,male : single,none,1.0,"car or other, not in attribute 6",0.26785714285714285,none,own,0.0,skilled employee / official,0.0,none,yes
0 <= ... < 200 DM,0.47058823529411764,critical account/ other credits existing (not at this bank),radio/television,0.11483437878287663,... < 100 DM,>= 7 years,1.0,male : single,none,1.0,real estate,0.30357142857142855,none,own,0.0,skilled employee / official,0.0,none,yes
0 <= ... < 200 DM,0.23529411764705882,delay in paying off in the past,car (used),0.37454605480356556,unknown/ no savings account,4 <= ... < 7 years,0.6666666666666667,male : single,none,1.0,building society savings agreement/ life insurance,0.30357142857142855,bank,rent,0.3333333333333333,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes
